"v1","v2","v3","v4","v5","v7_1","v7_2","v7_3","v7_4","v7_5","v7_6","v7_7","v7_8","v8","v9_1","v9_2","v10_1","v10_2","v10_3","v10_4","v10_5","v10_6","v10_7","v10_8","v10_9","v10_10","v10_11","v10_12","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22_1","v22_2","v22_3","v22_4","v22_5","v22_6","v23","v24","v25","v28","v29","v31","v32","v33","v35","v36","v37","v38","v9_3"
8,1,1,1,1,1,0,0,0,0,0,0,1,NA,0,30,1,1,0,1,0,0,0,0,0,0,0,0,3,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,20,20,1,2,2,30
6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,30,1,1,1,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,4,0,13,13,1,2,2,30
7,1,1,1,1,1,0,0,0,0,0,0,1,400,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,1,0,2,0,13,13,0,2,2,60
7,1,1,1,1,1,0,0,0,0,0,0,0,530,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,1,4,1,3,3,1,1,2,60
8,2,1,1,1,1,0,1,0,0,1,0,0,1893,1,30,1,1,0,0,0,0,0,0,0,0,1,0,NA,5,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,4,0,1,1,0,5,0,2,2,1,1,3,90
6,1,1,1,1,1,0,0,0,0,0,0,0,1060,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,5,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,1,1,0,6,0,16,16,1,1,3,120
5,3,2,1,1,1,0,0,0,0,0,0,0,1000,3,0,1,1,1,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3,0,1,4,0,15,15,0,1,2,180
7,1,1,1,1,1,0,0,0,1,0,0,0,488,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,2,0,1,5,0,4,4,1,1,2,180
4,1,2,1,1,1,0,0,0,0,0,0,0,850,4,0,1,1,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,0,4,0,0,5,0,9,9,0,2,3,240
3,1,1,1,1,1,0,1,0,1,0,1,0,1000,5,0,1,1,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,3,0,3,1,1,7,0,1,1,0,1,3,300
8,2,1,1,1,1,0,0,0,0,0,0,0,800,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,1,1,3,0,9,9,1,1,2,NA
7,4,1,1,1,1,0,1,1,1,0,1,1,2000,0,30,1,1,1,0,0,0,0,0,0,1,0,0,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,1,1,7,0,5,5,1,1,3,30
8,1,1,1,1,0,1,1,0,0,0,0,0,299,0,30,1,1,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,1,3,0,1,0,0,1,1,0,4,0,1,1,1,5,0,16,16,1,1,2,30
5,1,1,1,1,0,1,1,0,0,0,0,0,399,0,30,1,1,1,0,0,1,0,0,0,0,0,0,3,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,1,4,0,10,10,1,1,2,30
8,1,1,1,1,0,1,1,0,0,0,0,1,599,0,30,1,1,1,1,0,0,0,0,0,0,0,0,2,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,2,0,6,6,1,1,1,30
8,1,1,1,1,1,0,0,0,0,0,0,0,499,0,40,1,1,1,0,0,0,0,0,1,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,1,1,6,0,5,5,1,2,2,40
4,1,1,1,1,1,0,1,0,0,0,0,0,400,1,0,1,1,1,0,0,0,0,1,0,0,0,0,3,5,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,3,0,1,7,0,16,15,0,2,3,60
5,1,1,1,1,1,0,1,0,0,0,0,1,1300,1,0,1,1,0,0,0,0,0,1,1,0,0,0,3,4,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,3,1,1,6,0,16,16,1,1,2,60
7,1,1,1,1,1,0,0,0,0,0,0,0,250,1,30,1,1,1,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,3,0,0,4,0,2,2,1,2,2,90
8,1,1,1,1,0,1,1,1,0,0,0,0,400,2,0,1,1,0,0,1,0,0,0,1,0,0,0,2,5,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,4,0,9,9,1,1,1,120
6,1,2,1,1,1,0,1,0,0,0,0,0,1300,4,0,1,1,0,0,0,0,0,1,0,1,0,0,NA,5,0,0,0,0,0,NA,0,2,0,0,0,0,1,0,0,4,0,2,1,0,6,0,5,5,1,1,2,240
3,1,2,1,1,1,0,1,0,0,0,0,1,2500,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,4,1,0,0,3,0,0,0,1,0,0,1,1,1,1,0,2,0,2,0,1,4,0,19,1,0,1,2,300
7,2,2,1,1,1,0,0,0,0,0,0,0,2000,5,30,1,1,1,1,0,0,0,0,0,0,0,0,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,5,0,6,6,0,1,2,330
4,1,2,1,1,1,0,0,0,0,0,0,0,800,9,0,0,1,0,0,0,1,0,0,1,1,0,0,0,5,0,0,0,3,0,0,NA,3,0,1,0,0,0,0,0,3,1,4,1,1,6,0,17,17,0,1,2,540
